username,rating,comment
3629pkcerq,5,"Hình ảnh chỉ mang tc nhận xu, mn nên mua nha hợp giá tiền, chất okela"
b*****8,5,"Mua ở shop 2 lần rồi , giao đúng số lượng , chất lượng thì khỏi bàn chưa đến 100k mà có 2 cái quần đúng ý , chúc shop mua may bán đắt"
m*****2,5,"Vải quần ổn. Quần như hình 
Đóng gói sp cẩn thận....."
n*****u,5,"Vải k mỏng cũng k dày. Vải túi  quần k giống màu quần, bị lộ màu. Tạm ổn nếu vải túi quần khớp với màu quần thì sẽ tuyệt vời. m65-48kg sizeM mà vẫn rộng mấy phân 🥲 Hình ảnh và video chỉ mang tính chất nhận xu 😍😍"
p*****8,5,"Chất vải khá ổn, giao hàng cũng nhanh,......................"
anhthu8761,5,Quần xinh cực luôn ắ mn rẻ mà chất lượng giao hàng nhanh cho shop 5 sao
thuydung19129995,5,"quần vải đẹp chất mịn.Đã giặt rồi mặc lên from cũng ok lắm
dáng cao mình có 42kg chọn size S hơi rộng bụng tí tẹo 😆 Nói chung là vs giá này quần này thì ok lắm rùi nha đừng đòi hỏi hơn"
lan1291999,5,"Hình ảnh mang tính chất nhận xu 
Quần đẹp lắm ạ nên mua"
phanthitragiang2208,5,"Sorry hình ảnh k liên quan. 
Mình mua đồ lần thứ 2 rồi ạ,  làn trc rất ok mua màu đen nên lần này mình mua thêm kem và trắng 
Màu trắng hơi mỏng nhưng cũng k quá tệ.
 Còn kem và đen thì rát OK
Sẽ ủng hộ shop tiếp"
b*****6,5,"Quần đẹp lắm nha mọi người ơiiii, chất vải siêu dày dặn mặc thích lắm nha. Tuy nhiên thì form quần hơi rộng, mình cao 1m57 nặng 52kg, mông 90cm, đùi 52cm mặc size L rộng lắm ạ, nếu size M thì chắc là vừa, mọi người lưu ý chọn size nha. Lần sau mình sẽ ủng hộ shop tiếp ạ♥️"
r*****d,5,"Chất vải ok nha mn
Nên mua 
Hình ảnh chỉ mang tc minh hoạ
Hhhhhhhhhhhhhhhhh"
au579s2rb3,5,Sqrn ohaarm đẹp đáng giá tiền mọi người nên mua nha dịch nhưng giao hàng rất nhanh nói chung là đẹp chỉ thừa vẫn còn nhìu
t*****y,5,"Chất vải sờ lên thích lắm, lên hình nhìn màu hơi xanh tí nhưng bên ngoài màu đen ạ. Sẽ cập nhật ảnh lúc thử"
bonghongnho1,5,"Sản phẩm y hình dáng quần đẹp,  ko bị mỏng, chất co giãn thoải mái S khoảng dứoi 50kg vẫn mặc vừa
phù hợp với giá tiền 
Cắt may hơi lỗi,  cạp bị lệch, ống quần đũng bị lệch theo  
Ống quần hơi dài
Giao mk cái lỗi tiếc ghê, ko lỗi là form đẹp lắm mk rất ưng"
vothuyhienn111,4,"Phom quần khônggggg đẹppp
Giao hàng lâu hơn cả đơn quốc tế mình mua nữa mặc dù đặt sauu, hicc🥺🥺🥺🥺"
c*****3,5,"Chất ok lắm ạ
Sp như ảnh 
Giao hàng nhanh
Form lên cũng đẹp nữa.."
mk19112006,5,"Quần giá rẻ mà chất lượng hơi bị đỉnh, đây là lần thứ 2 quay lại shop, vì lần trước có đặt một cái mặc rất là ưng ý luôn, lần 2 quay lại shop cũng ko làm mình thất vọng, quần chất siêu đẹp, đóng gói kĩ, shop tư vấn rất thân thiện và nhiệt tình luôn, sẽ quay lại và ủng hộ shop lần N"
nhung24022003,5,"Quần trắng rất mỏng khác so với quần đen quần đen vải sẽ dày dặn hơn đùi mìn 56 eo 70 mông 97 vừa đẹp luôn nha mn mìn m6 60kg. Nên thử nhưng cân nhắc màu trắng nha
Shop nói mìn 60kg không vừa đâu :))) cố chấp đặt nhưng hên vừa đẹp :)))"
d*****4,5,"Kiểu mình mua 3 cái size S mà hong có cái nào vừa với mình luôn
Tại mình mặc hong đẹp hay do quần đây 
Phải tốn tiền bóp quần nữa đây"
bedau15tui,5,"quần xinh lắm nha mọi người, 1m63 51kg mặc vừa zin luôn á, giao hàng còn nhanh nữa, giao đúng hàng và đẹp lắm ạ"
babihannn,5,cc
dieuanh2116,5,Giao hàng khá nhanh . 2 hôm đã về tay rồi. Đóng gói cẩn thận . Quần chất ưng ý ko quá mỏng ko quá dày . Mình cao m55 43kg eo 63 sz S bụng suýt vừa . Rộng 1 xíu thui nma vẫn đẹp nhé
nguyenlinhlinh0501,5,"vừa eo. m56 sz S vừa luôn. chất mịn mà mặc lên sang lắm. giao hàng nhanhh, 1-2 ngày là có luôn rồi. đánh giá shop 5 sao luôn haahahakvjw"
quyen.0903,5,quần hơi dài nma với giá vậy thì được rồi. hình ảnh để nhận xu
ngocchi240795,5,Tốt
linhhuong1826,5,
mlannnn2112,5,"Mình 1m5 45kg mặc size M hơi rộng nhưng mà thoải mái
Chất vải xịn sò con bò 🐄🐄🐄🐄🐄🐄🐄🐄🐄🐄🐮🐮🐮🐮🐮🐮
Giao hàng nhanh 
Nên mua nheeeee"
vyyvyy2412,5,"Hình ảnh mang tính chất nhận xu ạ
Mà hàng thì chất lượng nha mn giao đúng mẫu siêuu xinh luôn nhaa"
